Дата;Номер;Сумма;Статус;Примечание;Комментарий;Контрагент;ИНН/КПП;Организация;ИНН/КПП;Тип документа;Имя файла;Дата;Номер;Сумма;Сумма НДС;Ответственный;Подразделение;Код;Дата;Время;Тип пакета;Идентификатор пакета;Запущено в обработку;Получено контрагентом;Завершено;Увеличение суммы;НДС;Уменьшение суммы;НДС
09.12.2020;10323518-30;1 068,83;Выполнение завершено успешно;;"Интернет заказ: MI-18959598; Интернет заказ: MI-18959598";"Филиал АО НПК ""Катрен"" в г. Химки";5408130693 / 504743001;ООО Рога и Копыта;4025419873 / 402501001;СчФктр;ON_NSCHFDOPPR_2BE911035223f7011e2addf005056917125_2BE943258b29b7711e2aba7005056917125_20201209_583257b2-b311-4dc7-b408-cd64353329e5.xml;09.12.2020;10323518-30;1 068,83;97,17;;Аптека №7;9;09.12.2020;10:06:07;ДокОтгрВх;6facd51f-9b2d-446b-a6b3-72b131e44303;09.12.2020 10:06;09.12.2020 10:09;10.12.2020 10:25;0;0;0;0
09.12.2020;10323518-30;1 068,83;Выполнение завершено успешно;;"Интернет заказ: MI-18959598; Интернет заказ: MI-18959598";"Филиал АО НПК ""Катрен"" в г. Химки";5408130693 / 504743001;ООО Рога и Копыта;4025419873 / 402501001;УпдДоп;ON_NSCHFDOPPR_2BE911035223f7011e2addf005056917125_2BE943258b29b7711e2aba7005056917125_20201209_d127a2b6-ead2-48bc-98e0-17cee17ade8c.xml;09.12.2020;10323518-30;1 068,83;97,17;;Аптека №7;9;09.12.2020;10:06:07;ДокОтгрВх;6facd51f-9b2d-446b-a6b3-72b131e44303;;;;0;0;0;0
09.12.2020;10323518-30;0;Выполнение завершено успешно;;"Интернет заказ: MI-18959598; Интернет заказ: MI-18959598";"Филиал АО НПК ""Катрен"" в г. Химки";5408130693 / 504743001;ООО Рога и Копыта;4025419873 / 402501001;ЭДОРеестрСертификатов;SE_RSERT_2BE911035223f7011e2addf005056917125_2BE943258b29b7711e2aba7005056917125_20201209_8ff4cbf5-ccb4-4757-b278-254f3ff11ca2.xml;;;0;0;;Аптека №7;9;09.12.2020;10:06:07;ДокОтгрВх;6facd51f-9b2d-446b-a6b3-72b131e44303;;;;0;0;0;0
09.12.2020;10323518-30;0;Выполнение завершено успешно;;"Интернет заказ: MI-18959598; Интернет заказ: MI-18959598";"Филиал АО НПК ""Катрен"" в г. Химки";5408130693 / 504743001;ООО Рога и Копыта;4025419873 / 402501001;;Список КИЗов.pdf;;;0;0;;Аптека №7;9;09.12.2020;10:06:07;ДокОтгрВх;6facd51f-9b2d-446b-a6b3-72b131e44303;;;;0;0;0;0
09.12.2020;10323470-30;757,99;Выполнение завершено успешно;;"Интернет заказ: AD-18925659; Интернет заказ: AD-18925659";"Филиал АО НПК ""Катрен"" в г. Химки";5408130693 / 504743001;ООО Рога и Копыта;4025419873 / 402501001;СчФктр;ON_NSCHFDOPPR_2BE911035223f7011e2addf005056917125_2BE943258b29b7711e2aba7005056917125_20201209_54aa75a2-b40b-427d-9928-d7675b444712.xml;09.12.2020;10323470-30;757,99;68,91;;Аптека №7;9;09.12.2020;10:04:42;ДокОтгрВх;ef9883c5-a99e-45dd-a49b-007221e025fd;09.12.2020 10:04;09.12.2020 10:05;10.12.2020 10:24;0;0;0;0
09.12.2020;10323470-30;0;Выполнение завершено успешно;;"Интернет заказ: AD-18925659; Интернет заказ: AD-18925659";"Филиал АО НПК ""Катрен"" в г. Химки";5408130693 / 504743001;ООО Рога и Копыта;4025419873 / 402501001;ПротЦен;ON_PROTCEN_2BE911035223f7011e2addf005056917125_2BE943258b29b7711e2aba7005056917125_20201209_2ad549f7-3250-4ef4-b538-11ebe9d6178b.xml;09.12.2020;;0;0;;Аптека №7;9;09.12.2020;10:04:42;ДокОтгрВх;ef9883c5-a99e-45dd-a49b-007221e025fd;;;;0;0;0;0
09.12.2020;10323470-30;757,99;Выполнение завершено успешно;;"Интернет заказ: AD-18925659; Интернет заказ: AD-18925659";"Филиал АО НПК ""Катрен"" в г. Химки";5408130693 / 504743001;ООО Рога и Копыта;4025419873 / 402501001;УпдДоп;ON_NSCHFDOPPR_2BE911035223f7011e2addf005056917125_2BE943258b29b7711e2aba7005056917125_20201209_947a42db-07cc-4ec9-9e99-f61e892aa162.xml;09.12.2020;10323470-30;757,99;68,91;;Аптека №7;9;09.12.2020;10:04:42;ДокОтгрВх;ef9883c5-a99e-45dd-a49b-007221e025fd;;;;0;0;0;0
09.12.2020;10323470-30;0;Выполнение завершено успешно;;"Интернет заказ: AD-18925659; Интернет заказ: AD-18925659";"Филиал АО НПК ""Катрен"" в г. Химки";5408130693 / 504743001;ООО Рога и Копыта;4025419873 / 402501001;ЭДОРеестрСертификатов;SE_RSERT_2BE911035223f7011e2addf005056917125_2BE943258b29b7711e2aba7005056917125_20201209_c8296f1c-a7b9-40be-bce8-4f8e71d501f2.xml;;;0;0;;Аптека №7;9;09.12.2020;10:04:42;ДокОтгрВх;ef9883c5-a99e-45dd-a49b-007221e025fd;;;;0;0;0;0
09.12.2020;10323470-30;0;Выполнение завершено успешно;;"Интернет заказ: AD-18925659; Интернет заказ: AD-18925659";"Филиал АО НПК ""Катрен"" в г. Химки";5408130693 / 504743001;ООО Рога и Копыта;4025419873 / 402501001;;Список КИЗов.pdf;;;0;0;;Аптека №7;9;09.12.2020;10:04:42;ДокОтгрВх;ef9883c5-a99e-45dd-a49b-007221e025fd;;;;0;0;0;0
09.12.2020;10323511-30;653,48;Выполнение завершено успешно;;"Интернет заказ: MA-18935386; Интернет заказ: MA-18935386";"Филиал АО НПК ""Катрен"" в г. Химки";5408130693 / 504743001;ООО Рога и Копыта;4025419873 / 402501001;СчФктр;ON_NSCHFDOPPR_2BE911035223f7011e2addf005056917125_2BE943258b29b7711e2aba7005056917125_20201209_ba75b41f-ee05-4faa-82a9-e319a5cd471a.xml;09.12.2020;10323511-30;653,48;59,41;;Аптека №6;8;09.12.2020;10:04:28;ДокОтгрВх;0eef9eb5-55bf-4051-ae94-a61f319ae03a;09.12.2020 10:04;09.12.2020 10:05;10.12.2020 10:24;0;0;0;0
